bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,1,1,0.000000,0.000000,0.000000,365.238900,0.000000
verhard,1996,1,2,0.000000,0.000000,-36.523890,365.238900,-243.492600
verhard,1996,1,3,0.000000,0.000000,-69.395391,365.238900,-365.238900
verhard,1996,1,4,0.000000,0.000000,-98.979742,365.238900,-243.492600
verhard,1996,1,5,0.000000,0.000000,-125.605658,365.238900,-486.985200
verhard,1996,1,6,1704.448200,0.000000,-149.568982,365.238900,1704.448200
verhard,1996,1,7,2434.926000,-2191.433400,-171.135974,365.238900,2921.911200
verhard,1996,1,8,2313.179700,0.000000,-190.546266,365.238900,-121.746300
verhard,1996,1,9,2434.926000,-365.238900,-208.015530,365.238900,486.985200
verhard,1996,1,10,2434.926000,-730.477800,-223.737867,365.238900,730.477800
verhard,1996,1,11,2434.926000,0.000000,-309.192601,365.238900,0.000000
verhard,1996,1,12,1947.940800,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,13,1460.955600,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,14,973.970400,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,15,486.985200,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,16,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,17,0.000000,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,1,18,0.000000,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,1,19,0.000000,0.000000,-365.238900,365.238900,-121.746300
gedraineerd boven,1996,1,1,647056.375000,0.000000,-1294.112750,1109.239500,0.000000
gedraineerd boven,1996,1,2,322973.567750,0.000000,-646.871502,1109.239500,-554.619750
gedraineerd boven,1996,1,3,160654.854250,0.000000,-323.805682,1109.239500,-831.929625
gedraineerd boven,1996,1,4,79772.807375,0.000000,-163.104332,1109.239500,-554.619750
gedraineerd boven,1996,1,5,38777.164188,0.000000,-83.723040,1109.239500,-1109.239500
gedraineerd boven,1996,1,6,24749.906344,0.000000,-44.862153,1109.239500,5361.324250
gedraineerd boven,1996,1,7,21433.742422,0.000000,-26.537948,1109.239500,9058.789250
gedraineerd boven,1996,1,8,10624.434586,0.000000,-15.245697,1109.239500,-92.436625
gedraineerd boven,1996,1,9,6883.639918,0.000000,-5.622819,1109.239500,1571.422625
gedraineerd boven,1996,1,10,5752.735584,0.000000,-1.414219,1109.239500,2310.915625
gedraineerd boven,1996,1,11,3061.241042,0.000000,0.919776,1109.239500,184.873250
gedraineerd boven,1996,1,12,421.381021,0.000000,2.685985,1109.239500,-1109.239500
gedraineerd boven,1996,1,13,-898.548990,0.000000,3.104680,1109.239500,-1109.239500
gedraineerd boven,1996,1,14,-1268.295490,0.000000,2.203026,1109.239500,-369.746500
gedraineerd boven,1996,1,15,-1638.041990,0.000000,1.091583,1109.239500,-369.746500
gedraineerd boven,1996,1,16,-2007.788490,0.000000,-0.018748,1109.239500,-369.746500
gedraineerd boven,1996,1,17,-2192.661740,0.000000,-1.127968,1109.239500,-184.873250
gedraineerd boven,1996,1,18,-2285.098365,0.000000,-2.236080,1109.239500,-92.436625
gedraineerd boven,1996,1,19,-2377.534990,0.000000,-3.343083,1109.239500,-92.436625
stedelijk,1996,1,1,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,2,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,3,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,4,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,5,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,6,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,7,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,8,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,9,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,10,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,11,0.000000,0.000000,0.000000,0.000000,0.000000
stedelijk,1996,1,12,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,13,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,14,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,15,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,16,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,17,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,18,0.000000,0.000000,0.000000,0.000000,-0.000000
stedelijk,1996,1,19,0.000000,0.000000,0.000000,0.000000,-0.000000
landelijk,1996,1,1,206512.670000,-806284.467300,-20651.267000,885.054300,0.000000
landelijk,1996,1,2,202677.434700,0.000000,-4130.253400,885.054300,-590.036200
landelijk,1996,1,3,198623.886006,0.000000,-4053.548694,885.054300,-885.054300
landelijk,1996,1,4,194946.426386,0.000000,-3972.477720,885.054300,-590.036200
landelijk,1996,1,5,190752.479758,0.000000,-3898.928528,885.054300,-1180.072400
landelijk,1996,1,6,191952.737863,0.000000,-3815.049595,885.054300,4130.253400
landelijk,1996,1,7,196079.171806,0.000000,-3839.054757,885.054300,7080.434400
landelijk,1996,1,8,192747.624570,0.000000,-3921.583436,885.054300,-295.018100
landelijk,1996,1,9,190957.798778,0.000000,-3854.952491,885.054300,1180.072400
landelijk,1996,1,10,189793.805703,0.000000,-3819.155976,885.054300,1770.108600
landelijk,1996,1,11,186882.983889,0.000000,-3795.876114,885.054300,0.000000
landelijk,1996,1,12,182850.306111,0.000000,-3737.659678,885.054300,-1180.072400
landelijk,1996,1,13,178898.281889,0.000000,-3657.006122,885.054300,-1180.072400
landelijk,1996,1,14,175025.298151,0.000000,-3577.965638,885.054300,-1180.072400
landelijk,1996,1,15,171229.774088,0.000000,-3500.505963,885.054300,-1180.072400
landelijk,1996,1,16,167510.160506,0.000000,-3424.595482,885.054300,-1180.072400
landelijk,1996,1,17,164454.975396,0.000000,-3350.203210,885.054300,-590.036200
landelijk,1996,1,18,161755.912088,0.000000,-3289.099508,885.054300,-295.018100
landelijk,1996,1,19,159110.830046,0.000000,-3235.118242,885.054300,-295.018100
